sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,meth,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,dsbf,ed,m,em,ml,mu,sample,subtype,quality,caltype
ASAS14ad,0.0264,0.0274352,1.01,0.018,16.39,0.005,-7.2,0.0159,0.0016,3.91e-06,,-0.010999999999999233,0.011180339887498949,0.0,N/A,-1.0,-1.0,,,,,8.61,,8.23,8.78,CSPII,Ia,0.973,none
ASAS14hp,0.0388933,0.0386676,1.074,0.01,16.752,0.005,-4.3,0.0295,0.0029,1.607e-05,,-0.04899999999999949,0.005,0.0,N/A,-1.0,-1.0,,,,,9.09,,8.98,9.15,CSPII,Ia,0.984,none
ASAS14hr,0.0335967,0.0327196,0.802,0.01,17.03,0.011,-6.1,0.0131,0.0013,3.394e-05,,0.06099999999999994,0.01345362404707371,0.0,N/A,-1.0,-1.0,,,,,10.34,,10.18,10.45,CSPII,Ia,0.985,none
ASAS14hu,0.0215851,0.0218919,1.052,0.007,15.554,0.006,-6.8,0.0612,0.0061,1.063e-05,,-0.04499999999999993,0.006403124237432849,0.0,N/A,-1.0,-1.0,,,,,9.93,,9.8,10.24,CSPII,Ia,0.983,none
ASAS14jc,0.0113167,0.0117796,0.915,0.005,15.103,0.008,-5.3,0.1346,0.0135,7.979e-06,,0.43700000000000117,0.01,0.0,N/A,-1.0,-1.0,,,,,9.46,,9.32,9.77,CSPII,Ia,0.962,none
ASAS14jg,0.0148167,0.014347,1.285,0.022,14.865,0.025,2.7,0.0128,0.0013,7.591e-06,,0.049000000000001265,0.05940538696111658,0.0,N/A,-1.0,-1.0,,,,,8.76,,8.57,8.88,CSPII,Ia,0.961,none
ASAS14jz,0.0157891,0.0156168,0.989,0.006,14.767,0.005,-8.5,0.0472,0.0047,1.318e-06,,-0.04100000000000037,0.00565685424949238,0.0,N/A,-1.0,-1.0,,,,,8.23,,8.11,8.35,CSPII,Ia,0.952,none
ASAS14kd,0.0243,0.0230683,1.169,0.007,16.031,0.006,-6.9,0.0574,0.0057,8.821e-06,,0.2339999999999982,0.007071067811865475,0.0,N/A,-1.0,-1.0,,,,,10.14,,10.03,10.23,CSPII,Ia-91T,0.941,none
ASAS14kq,0.0335767,0.0325972,1.147,0.011,16.718,0.01,-5.2,0.0155,0.0016,5.667e-05,,-0.020999999999997243,0.012041594578792296,0.0,N/A,-1.0,-1.0,,,,,8.91,,8.78,9.11,CSPII,Ia,0.961,none
ASAS14lo,0.0199167,0.0210151,0.952,0.018,15.922,0.027,2.2,0.0282,0.0028,-8.537e-06,,0.12700000000000067,0.060802960454241044,0.0,N/A,-1.0,-1.0,,,,,9.69,,9.47,9.79,CSPII,Ia,0.979,none
ASAS14lp,0.0050967,0.0062254,1.029,0.004,11.893,0.005,-13.9,0.0213,0.0021,4.824e-06,,0.24300000000000033,0.006403124237432849,0.0,N/A,-1.0,-1.0,,,,,10.74,,10.6,10.91,CSPII,Ia,0.335,none
