sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.0676085475784447,0.2264501252180984,0.0274352,1.01,-0.010999999999999233,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.2348538076327955,0.2002794502239235,0.0386676,1.074,-0.04899999999999949,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.09855304804039378,0.20933241158032476,0.0327196,0.802,0.06099999999999994,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.12400584976282403,0.23379322839267547,0.0218919,1.052,-0.04499999999999993,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.09957400893432578,0.3317177228325092,0.0117796,0.915,0.43700000000000117,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.3016522300347546,0.3494796503313167,0.014347,1.285,0.049000000000001265,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.23803878451553828,0.2760579760377735,0.0156168,0.989,-0.04100000000000037,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.06364331411979407,0.22976623778032612,0.0230683,1.169,0.2339999999999982,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.2614644154166683,0.21241913213117342,0.0325972,1.147,-0.020999999999997243,8.91,8.78,9.11,CSPII,none
ASAS14lo,-0.0620959489393087,0.295118262543683,0.0210151,0.952,0.12700000000000067,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.5042548685652477,0.557404041345341,0.0062254,1.029,0.24300000000000033,10.74,10.6,10.91,CSPII,none
ASAS14lq,-0.05024839149886873,0.32159993764972516,0.0250833,0.999,0.019999999999999574,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.14888962013927198,0.2119773926763536,0.0314552,0.944,-0.0329999999999977,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.4689545644242017,0.24328127103254674,0.0202609,1.25,-0.012000000000000455,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.046581489162278444,0.25976727953239437,0.017386,1.078,0.006999999999999673,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.08820265172661124,0.2102751401575077,0.0301521,0.984,-0.012000000000000455,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.1596909835908562,0.2160612947027076,0.0271207,1.063,-0.03399999999999892,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.25778604667869587,0.23453651280896778,0.0217279,0.923,0.014999999999998792,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.1944394071959863,0.32731888456892033,0.0120218,0.831,0.10299999999999976,11.2,11.05,11.35,CSPII,none
ASAS15al,0.15284396264875966,0.2845250520225744,0.0337612,1.077,0.054999999999999716,8.07,8.03,8.23,CSPII,none
ASAS15as,-0.17393567298439194,0.21672502645773029,0.0297845,1.076,0.028999999999999915,7.66,7.47,8.01,CSPII,none
ASAS15ba,0.00633282433506821,0.22439775754471644,0.0239771,0.967,0.008000000000000895,7.99,7.83,8.19,CSPII,none
ASAS15be,0.0929461850810469,0.23619075350387164,0.0213892,1.134,0.019000000000000128,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.31459972470381814,0.23623976226967452,0.0214395,0.991,0.12700000000000067,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.2664264588536511,0.36616141850219536,0.0411361,1.086,0.10699999999999932,10.28,10.17,10.4,CSPII,none
ASAS15cd,-0.03737308453680299,0.2017783670300549,0.0353887,1.003,-0.021000000000000796,9.95,9.85,10.02,CSPII,none
ASAS15da,0.29984046203214376,0.28909944781483876,0.0488203,0.853,-0.1319999999999979,10.4,10.23,10.48,CSPII,none
ASAS15db,0.09963660722178247,0.3393364162365173,0.0113676,0.955,0.0860000000000003,10.11,9.98,10.19,CSPII,none
ASAS15dd,-0.05762308108802472,0.22315303252788268,0.0247417,0.849,-0.0070000000000014495,10.41,10.31,10.52,CSPII,none
ASAS15eb,0.23661386222960346,0.27013859065940976,0.0173082,0.821,-0.12899999999999956,10.96,10.79,11.4,CSPII,none
ASAS15fr,0.26581217593909656,0.2777603271238042,0.0345082,0.905,-0.13299999999999912,9.98,9.89,10.06,CSPII,none
ASAS15ga,0.5114166846879442,0.4935631667789665,0.0076517,0.496,0.43100000000000094,10.38,10.18,10.48,CSPII,none
ASAS15go,0.04751745529177498,0.2508066477670144,0.0192546,1.071,0.22400000000000198,10.18,10.04,10.27,CSPII,none
ASAS15gr,-0.0014492322300796445,0.22298634191283312,0.0247678,1.035,-0.036000000000001364,8.94,8.82,9.02,CSPII,none
ASAS15hf,0.6272079987033763,0.4880577567241765,0.0072452,0.943,0.009000000000000341,9.56,9.39,9.97,CSPII,none
ASAS15hg,0.05115637693221231,0.27034512122536264,0.0308678,0.82,0.06299999999999883,10.42,10.3,10.51,CSPII,none
ASAS15hx,-0.5190875873353349,0.39905692522387476,0.0092051,1.039,-0.030000000000001137,7.45,7.06,7.89,CSPII,none
CSP12G,0.15527294161373817,0.310224647735944,0.0379661,1.159,0.11499999999999844,8.41,8.29,8.49,CSPII,none
CSP12J,-0.45584861994181125,0.4284303158703561,0.0149235,0.484,0.5549999999999997,10.09,9.97,10.2,CSPII,none
CSP12N,-0.09125571183862746,0.1872419117539852,0.0982741,1.053,-0.11400000000000077,7.51,7.32,7.66,CSPII,none
CSP13N,-0.32258102440154346,0.28459514629041954,0.0487969,1.138,-0.003999999999997783,10.07,9.88,10.24,CSPII,none
CSP13Q,-0.018778062938714868,0.8095692552446248,0.0887656,0.76,-0.046999999999997044,10.25,10.06,10.74,CSPII,none
CSP13V,-0.03448810615695663,0.537385925643858,0.0611394,1.05,-0.14199999999999946,11.5,11.5,11.5,CSPII,none
CSP13Z,-0.10401204101686545,0.195405495150943,0.0800694,1.19,-0.022999999999999687,8.35,8.25,8.85,CSPII,none
CSP13aad,0.09307722633221971,0.3019559845916195,0.0865709,1.19,0.019999999999999574,9.65,9.59,9.8,CSPII,none
CSP13aaf,0.048998087341445284,0.19445334457371455,0.0787193,1.136,-0.05600000000000094,10.66,10.53,11.04,CSPII,none
CSP13aam,-0.014324088460334394,0.20019537107689947,0.0750921,1.136,-0.15500000000000114,9.05,8.65,9.23,CSPII,none
CSP13aao,-0.48884992781219694,0.3275814720945322,0.0616022,0.696,0.125,9.93,9.8,10.09,CSPII,none
CSP13aaq,0.17512702282918724,0.189633840446432,0.0597706,0.984,-0.054999999999999716,11.5,11.5,11.5,CSPII,none
CSP13aay,0.3916519008282009,0.19406669986409322,0.0587551,1.14,0.03900000000000148,11.5,11.5,11.5,CSPII,none
CSP13abl,0.6851037592309339,0.3053624494443758,0.0406288,0.817,1.0730000000000004,8.91,8.9,9.04,CSPII,none
CSP13abm,0.3246024674634569,0.21881720370889451,0.027529,1.129,-0.006000000000000227,11.5,11.5,11.5,CSPII,none
CSP13abs,0.1449263458089547,0.19849010927866784,0.0783462,1.208,-0.06099999999999994,6.36,6.23,6.48,CSPII,none
