sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.09900293523351422,0.22618045632252157,0.0274352,1.01,-0.010999999999999233,8.61,8.23,8.78,CSPII,
ASAS14hp,-0.1252952919777357,0.1859679699847849,0.0386676,1.074,-0.04899999999999949,9.09,8.98,9.15,CSPII,
ASAS14hr,0.04068474769545105,0.19284340537654077,0.0327196,0.802,0.06099999999999994,10.34,10.18,10.45,CSPII,
ASAS14hu,0.10855634989223262,0.21266280256870448,0.0218919,1.052,-0.04499999999999993,9.93,9.8,10.24,CSPII,
ASAS14jc,-0.11133074627926476,0.3005536346824044,0.0117796,0.915,0.43700000000000117,9.46,9.32,9.77,CSPII,
ASAS14jg,0.156827492689807,0.2667054559675109,0.014347,1.285,0.049000000000001265,8.76,8.57,8.88,CSPII,
ASAS14jz,-0.17677883386048165,0.24460305472384725,0.0156168,0.989,-0.04100000000000037,8.23,8.11,8.35,CSPII,
ASAS14kd,-0.38870804346473165,0.24654511556729827,0.0230683,1.169,0.2339999999999982,10.14,10.03,10.23,CSPII,
ASAS14kq,0.21439083007173565,0.19289857595947976,0.0325972,1.147,-0.020999999999997243,8.91,8.78,9.11,CSPII,
ASAS14lp,-1.277092757910193,0.46640792020810806,0.0062254,1.029,0.24300000000000033,10.74,10.6,10.91,CSPII,
ASAS14lq,0.23929119915619879,0.2624254709705717,0.0250833,0.999,0.019999999999999574,10.65,10.46,10.73,CSPII,
ASAS14lt,0.06908187551577782,0.19460988238813276,0.0314552,0.944,-0.0329999999999977,10.64,10.56,10.7,CSPII,
ASAS14lw,0.537746152079265,0.22184918369590667,0.0202609,1.25,-0.012000000000000455,6.35,6.08,6.72,CSPII,
ASAS14me,-0.0683211495072058,0.24242753241365594,0.017386,1.078,0.006999999999999673,9.05,8.91,9.15,CSPII,
ASAS14mw,0.04462051106420262,0.19847690369313,0.0271207,1.063,-0.03399999999999892,10.68,10.59,10.75,CSPII,
ASAS14my,-0.08389867202363632,0.21525251992009578,0.0217279,0.923,0.014999999999998792,10.31,10.11,10.74,CSPII,
