sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.11740577239258698,0.2022239926802968,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.23716933481865965,0.18611874661046288,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.11566926485452456,0.19482910129559902,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.12780214094868825,0.22167047748049581,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.06964416012018404,0.32230765572746056,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.23164012684890167,0.3137020677651386,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.2461214997014025,0.2651839059800821,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.04659589730565017,0.21695902383777352,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.29095005223081216,0.19606978715905612,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,-0.046035440125159255,0.272078088880147,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.5006465757511087,0.5497265559416408,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,-0.044910866684716666,0.2854874050295453,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.15582010732512686,0.19745291724606331,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.2342533932383546,0.23214682677126577,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.050799332348134385,0.24879090106865606,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.09564370454074123,0.19696956592915546,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.16056342677671154,0.2032212115852477,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.24923594586454811,0.22252918143457567,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.17987770238184453,0.31761286395501415,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.16384406346291058,0.2510358472044345,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,-0.16589480017024272,0.20256918629546222,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,0.011314013149203106,0.21188990181633519,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.1064393498951901,0.22333523115142978,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.30708760788967027,0.22399460607914262,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
