sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.11622780797361543,0.03623091925892881,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.23527721923764489,0.028083228844935144,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.1962784204355401,0.03215642978719431,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.10886833236767046,0.045015620447554014,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,0.08830081646082988,0.10707868820931415,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.13940643542991893,0.102058614790625,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.21382201612037477,0.06913856883384442,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.042487880724628724,0.042593747758135285,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.2746839278118429,0.03211236997390638,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,0.011346368455868117,0.07189924644675928,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.4633340601700873,0.3308763769434944,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.000920016896301945,0.08037217223979853,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.11432695174411123,0.03359302600795326,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.20842238981936134,0.04994964953925584,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.027220851767111753,0.05960776217752127,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.11191210512176752,0.03356049792520399,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.149217991195691,0.03615281959147264,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.1928003342835396,0.04571813838884039,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.1299606938008253,0.10350384362868598,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.17860367504393082,0.05566542896719396,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,-0.1598746845892336,0.0342782195109773,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,0.04679649673022368,0.04061314389884827,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.10292245847622183,0.04605497529995142,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.2387559563086512,0.04636885124868992,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cd,-0.02879193214165099,0.029645584096608335,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
ASAS15da,0.33077941442731174,0.06374028497606402,0.0488203,0.851,-0.133,10.4,10.23,10.48,CSPII,none
ASAS15db,0.15184956761694224,0.1130444205415741,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
ASAS15dd,0.00780144730712351,0.03969079167229717,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none
ASAS15eb,0.2685285156247659,0.062339001780012115,0.0173082,0.82,-0.136,10.96,10.79,11.4,CSPII,none
ASAS15fr,0.2972646563342636,0.05929378179305069,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none
ASAS15ga,0.6018626380831122,0.2474554671726708,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none
ASAS15go,0.10674058868693237,0.05272640885119143,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none
ASAS15gr,0.021642768165087034,0.039409991771495345,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none
ASAS15hf,0.6526572710985405,0.24992281722425153,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none
ASAS15hg,0.14449020232737553,0.057326066157531164,0.0308678,0.824,0.048,10.42,10.3,10.51,CSPII,none
ASAS15hx,-0.5185216739401852,0.16193381031111792,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none
CSP12J,-0.41285962654665553,0.1817937264429389,0.0149235,0.484,0.555,10.09,9.97,10.2,CSPII,none
CSP12N,-0.11796557444345979,0.021670198514367044,0.0982741,1.062,-0.11,7.51,7.32,7.66,CSPII,none
CSP13aad,-0.017334913272620156,0.06197212577970897,0.0865709,1.193,0.029,9.65,9.59,9.8,CSPII,none
CSP13abm,0.3389059208586289,0.03608132589962717,0.027529,1.14,-0.018,11.5,11.5,11.5,CSPII,none
CSP14aaq,-0.00902248644295156,0.032735069249383617,0.0361755,0.905,-0.085,11.08,11.01,11.48,CSPII,none
CSP14abn,-0.11791202004052792,0.041763177994343585,0.0232746,1.004,-0.036,9.75,9.59,10.24,CSPII,none
CSP14acl,0.41732545727640513,0.035441047739605894,0.0289327,0.959,-0.081,11.5,11.5,11.5,CSPII,none
CSP14adc,-0.12491717157931248,0.032528962636728685,0.031651,0.815,0.219,10.81,10.67,11.14,CSPII,none
CSP15B,-0.04270522239460206,0.048135418929640995,0.0208198,0.72,0.132,10.95,10.78,11.42,CSPII,none
CSP15aae,-0.00537333817076302,0.06209674462525079,0.0169733,0.505,0.455,11.14,10.96,11.26,CSPII,none
KISS15m,0.13293785275735814,0.044833253243958114,0.0253844,0.429,0.62,9.78,9.67,9.94,CSPII,none
KISS15n,-0.4148874765501276,0.0414471842820958,0.0239783,1.241,0.102,8.0,7.8,8.17,CSPII,none
LSQ11bk,0.13438489895914785,0.02871712881321575,0.0400251,1.071,-0.079,6.53,6.5,6.59,CSPII,none
LSQ11ot,0.7389050094062526,0.03578156096363593,0.0273222,0.982,0.318,10.17,10.0,10.22,CSPII,none
LSQ11pn,-0.2679461903743743,0.03306640215359666,0.0326611,0.507,0.285,10.7,10.52,10.8,CSPII,none
LSQ12agq,0.19053705356887463,0.06116773356529612,0.0653581,1.152,0.084,9.3,9.29,9.43,CSPII,none
LSQ12aor,0.46675947585747934,0.027302977173108606,0.0945588,0.827,-0.088,9.85,9.67,10.15,CSPII,none
LSQ12bld,-0.07598237505966665,0.023327962585267596,0.084303,0.892,0.101,10.55,10.42,10.64,CSPII,none
LSQ12btn,0.012422986315648643,0.024360993393101243,0.0552706,0.832,0.098,10.9,10.84,10.94,CSPII,none
LSQ12ca,0.294450852751325,0.07183425004800659,0.0995466,1.195,-0.084,10.44,10.34,10.64,CSPII,none
LSQ12cda,-0.10324806620741356,0.13808704806716146,0.1384035,0.814,0.087,9.82,9.69,9.98,CSPII,none
LSQ12cdl,0.21087415959181754,0.06522363397600514,0.1090245,0.988,-0.143,8.81,8.79,8.93,CSPII,none
LSQ13aiz,-0.5792515664070805,0.13488577694650494,0.0102493,0.964,0.08,8.24,8.12,8.34,CSPII,none
LSQ13dsm,0.1148573278390046,0.026699000660153828,0.0419767,0.908,-0.024,9.01,8.85,9.14,CSPII,none
LSQ13ry,0.10211186072576339,0.03296315397177475,0.031032,0.88,-0.05,9.64,9.54,9.7,CSPII,none
LSQ13vy,0.12863776980994146,0.026743684051519473,0.0421068,0.892,0.075,10.17,10.15,10.33,CSPII,none
LSQ14ajn,0.11765775137342871,0.044474281733822556,0.0221584,0.654,0.066,10.11,9.95,10.3,CSPII,none
LSQ14gov,0.034947665953787066,0.022559189542714027,0.0892443,1.141,-0.105,9.02,8.85,9.19,CSPII,none
LSQ14wp,-0.1566987064080081,0.02302590034059798,0.0706148,1.138,-0.05,7.48,7.23,7.59,CSPII,none
LSQ15aae,0.2251619063984691,0.024672587028591066,0.0517701,1.226,0.079,10.27,10.1,10.46,CSPII,none
PS1-14ra,-0.005984678697537049,0.03422190796065275,0.0287982,0.778,0.052,10.65,10.35,10.72,CSPII,none
PS1-14xw,-0.16451010368243857,0.0400186679587748,0.0245957,1.036,0.018,11.24,11.11,11.71,CSPII,none
PS15sv,-0.12757641679122855,0.03208823700761678,0.0335844,1.113,0.013,8.31,8.2,8.56,CSPII,none
PTF11pbp,0.1295290552029087,0.03566741517628924,0.0276702,1.157,0.051,10.88,10.73,10.97,CSPII,none
PTF11ppn,-0.4043626705579584,0.20639351081030075,0.0661869,0.66,0.245,11.02,10.96,11.06,CSPII,none
PTF11pra,-0.12217187529834916,0.08697277687326949,0.0167242,0.442,0.935,10.68,10.57,10.75,CSPII,none
PTF11qnr,-0.0501288079856792,0.07377528188862502,0.0149985,0.807,0.255,10.65,10.38,10.7,CSPII,none
PTF13duj,0.09431448958571309,0.06895991134175067,0.015867,1.158,0.052,10.73,10.61,10.82,CSPII,none
PTF13dwl,-0.21734004602675583,0.02510313940350527,0.0863561,1.114,0.017,8.74,8.42,8.98,CSPII,none
PTF13ebh,-0.008484257150158214,0.09734546697187822,0.012484,0.632,0.117,10.86,10.8,11.02,CSPII,none
PTF14aje,0.3056459826052702,0.03593657000183226,0.0282271,0.685,0.582,10.78,10.64,10.84,CSPII,none
PTF14fpg,0.211456967577071,0.031751403690610525,0.03283,1.079,0.003,11.5,11.5,11.5,CSPII,none
PTF14w,0.2381835753000061,0.04946559241427089,0.0200839,0.743,0.05,9.14,8.96,9.3,CSPII,none
PTF14yw,0.4620035160204594,0.057418883807685235,0.0180604,0.854,-0.043,10.24,10.16,10.59,CSPII,none
SN2004ef,0.006262901462307013,0.033225614215881764,0.02977,0.84,0.119,10.74,10.63,10.8,CSPI,none
SN2004eo,0.0853103738333516,0.07558273136724965,0.0147367,0.867,0.023,11.16,11.03,11.35,CSPI,none
SN2004ey,0.110744362608024,0.07585447313663102,0.0146267,1.008,-0.054,10.06,9.76,10.41,CSPI,none
SN2004gs,0.09380537570851999,0.0346881250397478,0.0282767,0.707,0.205,10.63,10.57,10.7,CSPI,none
SN2004gu,-0.2478669685999364,0.02668975597383834,0.0468967,1.153,0.149,10.02,9.74,10.19,CSPI,none
SN2005A,-0.07873117168666965,0.05716999586429262,0.01834,0.963,0.978,11.19,11.07,11.26,CSPI,none
SN2005M,0.025623380690319664,0.037964311918495496,0.02558,1.205,0.018,8.8,8.38,8.92,CSPI,none
SN2005W,0.1880823984067561,0.2107711552985275,0.00795,0.938,0.165,9.9,9.75,10.0,CSPI,none
SN2005ag,0.057666711692164085,0.021978726124724176,0.08008,1.145,-0.036,10.9,10.84,10.95,CSPI,none
SN2005al,0.3249030439346896,0.08812270408647321,0.0132867,0.868,-0.058,10.49,10.4,10.63,CSPI,none
SN2005am,-0.4229766322829107,0.16982413303555793,0.0089667,0.765,0.065,10.83,10.68,11.26,CSPI,none
SN2005be,-0.1628672014561232,0.06290876636862117,0.0355767,0.768,0.055,10.4,10.25,10.5,CSPI,none
SN2005bg,-0.09558289923809582,0.0747157656894592,0.0241567,1.064,0.036,9.91,9.72,10.02,CSPI,none
SN2005bl,0.15984657698363236,0.04702137892661325,0.0251133,0.429,0.676,11.01,10.89,11.2,CSPI,none
SN2005bo,-0.019869749330773345,0.07335812280440643,0.0150133,0.883,0.237,10.5,10.34,10.65,CSPI,none
SN2005el,0.11319829433398354,0.07483470279849286,0.0148833,0.864,-0.08,10.84,10.7,11.24,CSPI,none
SN2005eq,-0.021788668087637575,0.035387426235687094,0.02835,1.136,0.055,10.56,10.44,10.65,CSPI,none
SN2005hc,0.11458313157677225,0.025983911702251186,0.0444967,1.141,0.013,10.6,10.52,10.65,CSPI,none
SN2005hj,-0.20288753002723325,0.02656737062612256,0.05695,1.151,0.08,9.32,9.22,9.38,CSPI,none
SN2005iq,0.14243272892927195,0.031472408804593566,0.03293,0.882,-0.031,10.54,10.47,10.6,CSPI,none
