sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.11654463953603766,0.04101846669862503,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.24250742767522127,0.03444288995126618,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.12111669199796182,0.03793332930066162,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.13125659980524063,0.04919774259625047,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.057589434976733855,0.10444478611829311,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.2055606679923443,0.09926446850538964,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.24591880855795978,0.07060516857348367,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.05472165216220759,0.047091676098816745,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.27929883937426325,0.038203432590235675,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,-0.0412298989817117,0.07463261800962412,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.4969354686076635,0.3042692894294018,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,-0.04449897554127347,0.08227043692646785,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.15391268018169058,0.03901117901763108,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.22325687838178965,0.05388965232064554,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.05508905520468943,0.06210763435063623,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.09643894168419109,0.03885775433369601,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.16466935963327245,0.04129267072107512,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.24573559072111806,0.0496679134152514,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.1734665612384063,0.1013725769616051,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.16032241860635565,0.062378097835995835,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,-0.16977289302680987,0.04063501264853725,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,0.01325070429265196,0.04501561491408463,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.09727829103864138,0.04999309566960421,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.30378573274623477,0.050313894591888814,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.2721085288960694,0.09472380770591655,0.0411361,1.088,0.102,10.28,10.17,10.4,CSPII,none
ASAS15cd,-0.03377422857921886,0.035280464292700604,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
ASAS15da,0.28665131798972965,0.06894684668394617,0.0488203,0.851,-0.133,10.4,10.23,10.48,CSPII,none
ASAS15db,0.11029923917936202,0.10966225039033282,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
ASAS15dd,-0.03727004913044851,0.044304826785513604,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none
ASAS15eb,0.24401714818719,0.06578637949804307,0.0173082,0.82,-0.136,10.96,10.79,11.4,CSPII,none
ASAS15fr,0.2881446638966878,0.0643284690936945,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none
ASAS15ga,0.5282288706455418,0.23660209822660866,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none
ASAS15go,0.06043048524935557,0.0565751411614291,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none
ASAS15gr,-0.0020813682724991622,0.0440946796347854,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none
ASAS15hf,0.6274130946609588,0.23203278375840083,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none
ASAS15hg,0.08910413088979396,0.06283298423989085,0.0308678,0.824,0.048,10.42,10.3,10.51,CSPII,none
ASAS15hx,-0.5332749653777569,0.15340125764059467,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none
CSP12G,0.12402617157133022,0.0716938864206737,0.0379661,1.158,0.109,8.41,8.29,8.49,CSPII,none
CSP12J,-0.4669408179842307,0.18652162443267217,0.0149235,0.484,0.555,10.09,9.97,10.2,CSPII,none
CSP12N,-0.11857281788104501,0.028923079408997694,0.0982741,1.062,-0.11,7.51,7.32,7.66,CSPII,none
CSP13N,-0.3236456044439606,0.05858026176669398,0.0487969,1.145,-0.015,10.07,9.88,10.24,CSPII,none
CSP13Q,-0.025976740981121793,0.5050846091739818,0.0887656,0.768,-0.046,10.25,10.06,10.74,CSPII,none
CSP13V,-0.1202357421993625,0.11028117738264707,0.0611394,1.069,-0.075,11.5,11.5,11.5,CSPII,none
CSP13Z,-0.10785025305926865,0.03249603696545334,0.0800694,1.215,-0.026,8.35,8.25,8.85,CSPII,none
CSP13aad,0.035302598289796094,0.06960845524096652,0.0865709,1.193,0.029,9.65,9.59,9.8,CSPII,none
CSP13aaf,6.433929902982527e-05,0.030713305476793774,0.0787193,1.131,-0.056,10.66,10.53,11.04,CSPII,none
CSP13aam,-0.0701815585027461,0.030818925275954843,0.0750921,1.138,-0.15,9.05,8.65,9.23,CSPII,none
CSP13aao,-0.4872705418546204,0.0925697729648738,0.0616022,0.7,0.123,9.93,9.8,10.09,CSPII,none
CSP13aaq,0.16439882478677248,0.03044188554775094,0.0597706,0.984,-0.057,11.5,11.5,11.5,CSPII,none
CSP13aay,0.36403166278579846,0.03111438932793423,0.0587551,1.142,0.037,11.5,11.5,11.5,CSPII,none
CSP13abl,0.7640886931885191,0.07756730069354724,0.0406288,0.812,1.061,8.91,8.9,9.04,CSPII,none
CSP13abm,0.33767775342104756,0.04148564379266137,0.027529,1.14,-0.018,11.5,11.5,11.5,CSPII,none
