sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.15043769727044776,0.037644147436966084,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.15401512994080235,0.03080723617750488,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.07378810973238359,0.033919609106066374,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.11775662307081802,0.04607434696416432,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.10151635424231387,0.10265312146513347,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.24587814472675973,0.0885210440841709,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.24036480682353556,0.06811156221963306,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.048486451427784516,0.0438822468923506,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.2616154171086791,0.034496724512090716,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,-0.028337922247303027,0.05984701484900738,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.5032899708732472,0.30792706606952186,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,-0.07299277380685965,0.06096009178164205,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.1517382624472674,0.03491504881598734,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.250454019116205,0.05055097391408176,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.02424166247027415,0.05939373979815932,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.057815094418614876,0.03520650154669156,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
