sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.08514737846910947,0.1959573002654579,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.18310084874215704,0.17898704383276373,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.03393719093104863,0.18582068272843263,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.13960170687217754,0.22088822374325792,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.15161967804367293,0.3363640500731346,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.3805005609254124,0.32165007885791397,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.3233117656248865,0.27050300667334043,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,0.01483802477087437,0.21472291993583553,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.27528189830734107,0.19282627932655738,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,-0.07958700604864077,0.25968645130738877,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.5048336896745944,0.5906781225371035,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,-0.09235073260820315,0.2704504183656075,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.18722418124862372,0.18849027742328694,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.20560459531486686,0.23414694469369476,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.05169070627160721,0.2514852979169375,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,-0.008966549382734001,0.18832500830675358,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.12882942070019254,0.19785633860381108,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.2907416037880495,0.22153356316776932,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
