sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.13893671208680303,0.2698551789741551,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.33148419512446026,0.2492537237355311,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.506208004548732,0.26070219889812174,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,0.1518379187455139,0.28339672020099166,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,0.12738581957400896,0.3734093268286572,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.18822018654309858,0.4337412793031813,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.32966444000719974,0.3159218042295426,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.2740933176114382,0.27483923964758705,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.48237459192501575,0.26292911116675544,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,0.11854461956905027,0.4002428278690983,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.5257254360569057,0.591692376568981,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.1435321930094844,0.45367419879898574,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.009692367630933063,0.262971576401128,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.16052417293254706,0.29437335161514533,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.14026259265392582,0.3016352197897378,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.15267424423494447,0.26138444975521513,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.018036487082504493,0.2621047383029328,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.22941456617036238,0.29234255787964925,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.095604642687654,0.36706118889397144,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.09058344315711508,0.3889618684712415,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,-0.17091466047605053,0.2710527883246735,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,0.0482760728434144,0.2705769239845448,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.20087140958940353,0.28291545253546796,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.16445062819546052,0.2820349951618403,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cd,-0.00951404402845668,0.2502872681178863,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
ASAS15da,0.5103717025404961,0.4286255126129073,0.0488203,0.851,-0.133,10.4,10.23,10.48,CSPII,none
ASAS15db,0.12864995173013938,0.3762041877224892,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
