sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.1506281620621266,0.03231394998529397,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.16862390514912562,0.025854787950924576,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.08366021452406613,0.028836582548868814,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.014797752279143594,0.040066497451551476,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.09662138745063231,0.09225662175275279,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.1931020155184271,0.07757291813796027,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.2929750860318592,0.060469181807073114,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.14723760463611058,0.03808118360580065,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.19353436190036888,0.029159229486898447,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,0.030660948544380062,0.05115615434658054,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.4877039460815666,0.28144582801609236,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.12674174698481266,0.0503598638389174,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.11176915765559414,0.02971537575407645,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.24831542590788303,0.044110846680888105,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.04718540767859025,0.052414813899382934,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.020446589210301624,0.030103428173922125,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.06385883710717621,0.032641882319178105,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.27338866819501817,0.04042326206180985,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.33684971371231853,0.0894024707348473,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.1685293411324409,0.03872256257244708,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,-0.036707370500700165,0.03102136296123175,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,-0.00031057318125249367,0.0363721435586592,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.12329963856473825,0.04100892469109879,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.22744381022013016,0.04103038187288691,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.15913638136996155,0.051098449073526085,0.0411361,1.088,0.102,10.28,10.17,10.4,CSPII,none
ASAS15cd,0.061736693946869536,0.026954922722009163,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
ASAS15da,0.21878524051582815,0.037312296399321994,0.0488203,0.851,-0.133,10.4,10.23,10.48,CSPII,none
ASAS15db,0.0510077617054705,0.09746226438456052,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
