sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.053844282910361585,0.2124691233319098,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.2688218243008933,0.19703586323957287,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.08246477537230845,0.20512090473096015,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.15046835543090964,0.2363810230437606,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.10143597460240272,0.34979120152076687,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.3447914123666749,0.3703961495841724,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.326650589183636,0.284504653470923,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,0.014569288212122444,0.23111389092100537,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.29628456274858195,0.21275998267034624,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,-0.08896565460739225,0.3106794991740122,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.4931150652333365,0.6042071414643316,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,-0.06089895616695884,0.34273904426627155,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.18741359680736025,0.20873480737320063,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.182003078756118,0.25152384132868566,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.07920094683034762,0.265868386022957,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.03207709005852166,0.20632069283594642,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.16042391625894226,0.21413273617591483,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.2889146353467851,0.2373469445504225,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.19362491686406003,0.3447986954387697,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.1161373739806777,0.3093499197762551,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,-0.2255462896524847,0.22183547402292003,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,-0.07589507633302617,0.22311154499216937,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.07973063541297165,0.2377874629870852,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.33452529737189707,0.23768918520292584,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.2581495605217228,0.4408696055808377,0.0411361,1.088,0.102,10.28,10.17,10.4,CSPII,none
