sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.06703356429797935,0.21792665337202166,0.0274352,1.01,-0.010999999999999233,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.24071727091326522,0.19441485827242802,0.0386676,1.074,-0.04899999999999949,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.09978414475992992,0.2031750728911997,0.0327196,0.802,0.06099999999999994,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.12825575304329817,0.22693748791800616,0.0218919,1.052,-0.04499999999999993,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.07775974221479487,0.32090162466750105,0.0117796,0.915,0.43700000000000117,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.2752784967542823,0.31906856526254984,0.014347,1.285,0.049000000000001265,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.2392425977960002,0.26734464142260767,0.0156168,0.989,-0.04100000000000037,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.06521832740024536,0.22248240744841738,0.0230683,1.169,0.2339999999999982,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.2505503621362024,0.20390833521727453,0.0325972,1.147,-0.020999999999997243,8.91,8.78,9.11,CSPII,none
ASAS14lo,-0.05474185221976313,0.2753972547139495,0.0210151,0.952,0.12700000000000067,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.4940002818457145,0.5381418200874604,0.0062254,1.029,0.24300000000000033,10.74,10.6,10.91,CSPII,none
ASAS14lq,-0.0489786047793217,0.29176832025827226,0.0250833,0.999,0.019999999999999574,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.1487988834197438,0.2051518650521503,0.0314552,0.944,-0.0329999999999977,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.4453415811437438,0.23543447580300395,0.0202609,1.25,-0.012000000000000455,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.05015279244273074,0.2518147445528416,0.017386,1.078,0.006999999999999673,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.08848178844615262,0.20414330183818047,0.0301521,0.984,-0.012000000000000455,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.16412183687132398,0.20991157869224428,0.0271207,1.063,-0.03399999999999892,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.2553736999591649,0.22764614022519727,0.0217279,0.923,0.014999999999998792,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.1898724204764548,0.31651307821673014,0.0120218,0.831,0.10299999999999976,11.2,11.05,11.35,CSPII,none
ASAS15al,0.15155230936830577,0.2579004830662801,0.0337612,1.077,0.054999999999999716,8.07,8.03,8.23,CSPII,none
ASAS15as,-0.17635213626485324,0.2092416003131643,0.0297845,1.076,0.028999999999999915,7.66,7.47,8.01,CSPII,none
