sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.35508193750562356,0.03424338194605908,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,0.021758270294370163,0.026870860694752523,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,-0.007188410032441084,0.030517212878920133,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,0.10551458816434689,0.0358664945923302,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.19338000700715696,0.07194757091175472,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.09604685596192297,0.05659069989100031,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.3025208705883742,0.05020923596515784,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.15937502419261307,0.03989240585066973,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14lp,-1.311963770638073,0.19435874158834068,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.2828369624283056,0.041242233493957045,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.104507782212103,0.029476374024595492,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.33401490635137066,0.040466199797237264,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,0.13594909276491052,0.04529558369528566,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mw,0.0626559383363201,0.03103401651415711,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.1272666127515265,0.036203566752891506,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.2969453732688123,0.06871369734682495,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.3301813965759379,0.03131410507994013,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,0.14157880494278174,0.03074644779323145,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,0.21180864226224116,0.03494387757399971,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
