sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.30374273377420735,0.17991637720697684,0.0274352,1.01,-0.010999999999999233,8.61,8.23,8.78,CSPII,none
ASAS14hp,0.03198285856295513,0.15621352976852435,0.0386676,1.074,-0.04899999999999949,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.005633154236136306,0.16806050224372723,0.0327196,0.802,0.06099999999999994,10.34,10.18,10.45,CSPII,none
ASAS14hu,0.10135425643292706,0.18370402114732465,0.0218919,1.052,-0.04499999999999993,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.21849232273856956,0.2662054017583799,0.0117796,0.915,0.43700000000000117,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.12411391623050605,0.23459828727813892,0.014347,1.285,0.049000000000001265,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.3009650183197792,0.2203700589675673,0.0156168,0.989,-0.04100000000000037,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.21070334792403145,0.19453330280950573,0.0230683,1.169,0.2339999999999982,10.14,10.03,10.23,CSPII,none
ASAS14lp,-1.32901550236949,0.4439800449149138,0.0062254,1.029,0.24300000000000033,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.23447277469688999,0.19841747820828282,0.0250833,0.999,0.019999999999999574,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.09916615394352135,0.16444035174946023,0.0314552,0.944,-0.0329999999999977,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.3951357506199642,0.1943951001486711,0.0202609,1.25,-0.012000000000000455,6.35,6.08,6.72,CSPII,none
ASAS14me,0.11965901703348436,0.20833538571641919,0.017386,1.078,0.006999999999999673,9.05,8.91,9.15,CSPII,none
ASAS14mw,0.058376822604905954,0.16959762204474307,0.0271207,1.063,-0.03399999999999892,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.12837244048294139,0.18458049991639838,0.0217279,0.923,0.014999999999998792,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.3120784410002315,0.2599395212947404,0.0120218,0.831,0.10299999999999976,11.2,11.05,11.35,CSPII,none
ASAS15al,0.2908895688445128,0.17031226034495703,0.0337612,1.077,0.054999999999999716,8.07,8.03,8.23,CSPII,none
ASAS15as,0.14686099321136226,0.16874214079081243,0.0297845,1.076,0.028999999999999915,7.66,7.47,8.01,CSPII,none
ASAS15ba,0.17050023053081986,0.1809248260969105,0.0239771,0.967,0.008000000000000895,7.99,7.83,8.19,CSPII,none
ASAS15be,0.24715325127680643,0.1854398583764073,0.0213892,1.134,0.019000000000000128,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.05262915850806138,0.18555903885314212,0.0214395,0.991,0.12700000000000067,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.40647219265790113,0.1769536486516636,0.0411361,1.086,0.10699999999999932,10.28,10.17,10.4,CSPII,none
ASAS15cd,0.10593892165894658,0.1578081420309867,0.0353887,1.003,-0.021000000000000796,9.95,9.85,10.02,CSPII,none
ASAS15db,-0.03203270658245572,0.2705193674316426,0.0113676,0.955,0.0860000000000003,10.11,9.98,10.19,CSPII,none
ASAS15dd,-0.48643291489226925,0.17988933578259347,0.0247417,0.849,-0.0070000000000014495,10.41,10.31,10.52,CSPII,none
ASAS15fr,0.09992786213485516,0.1650390638055582,0.0345082,0.905,-0.13299999999999912,9.98,9.89,10.06,CSPII,none
ASAS15ga,0.1677785508837104,0.4118849934505045,0.0076517,0.496,0.43100000000000094,10.38,10.18,10.48,CSPII,none
ASAS15go,0.09213382148753624,0.19704791288789666,0.0192546,1.071,0.22400000000000198,10.18,10.04,10.27,CSPII,none
ASAS15gr,-0.03851254603432608,0.17940630529211862,0.0247678,1.035,-0.036000000000001364,8.94,8.82,9.02,CSPII,none
ASAS15hf,0.43524520489913243,0.390878073575687,0.0072452,0.943,0.009000000000000341,9.56,9.39,9.97,CSPII,none
ASAS15hx,-0.3893668211395891,0.31711589420561725,0.0092051,1.039,-0.030000000000001137,7.45,7.06,7.89,CSPII,none
CSP12G,0.12258350780950167,0.1689122770460602,0.0379661,1.159,0.11499999999999844,8.41,8.29,8.49,CSPII,none
CSP13N,-0.19311471820578419,0.15546692927640177,0.0487969,1.138,-0.003999999999997783,10.07,9.88,10.24,CSPII,none
CSP13abl,-0.1537518345733062,0.1680990823709942,0.0406288,0.817,1.0730000000000004,8.91,8.9,9.04,CSPII,none
CSP14aar,0.008117519390623329,0.16642759688058242,0.0423854,0.982,-0.021000000000000796,9.07,8.9,9.42,CSPII,none
CSP14abn,-0.09447901123994029,0.17877904382807733,0.0232746,1.007,-0.0259999999999998,9.75,9.59,10.24,CSPII,none
