sn	mu_obs	err_mu_obs	zcmb	mass_best	mass_low	mass_hhigh	sample
ASAS14ad	35.371	0.179	0.0274	8.61	8.23	8.78	CSPII
ASAS14hp	35.949	0.141	0.0387	9.09	8.98	9.15	CSPII
ASAS14hr	35.641	0.153	0.0327	10.34	10.18	10.45	CSPII
ASAS14hu	34.762	0.171	0.0219	9.93	9.8	10.24	CSPII
ASAS14jc	33.164	0.269	0.0118	9.46	9.32	9.77	CSPII
ASAS14jg	33.933	0.235	0.0143	8.76	8.57	8.88	CSPII
ASAS14jz	33.774	0.211	0.0156	8.23	8.11	8.35	CSPII
ASAS14kd	34.806	0.213	0.0231	10.14	10.03	10.23	CSPII
ASAS14kq	35.847	0.149	0.0326	8.91	8.78	9.11	CSPII
ASAS14lo	34.777	0.189	0.021	9.69	9.47	9.79	CSPII
ASAS14lp	30.603	0.444	0.0062	10.74	10.6	10.91	CSPII
ASAS14lq	35.177	0.208	0.0251	10.65	10.46	10.73	CSPII
ASAS14lt	35.524	0.152	0.0315	10.64	10.56	10.7	CSPII
ASAS14lw	34.941	0.182	0.0203	6.35	6.08	6.72	CSPII
ASAS14me	34.287	0.205	0.0174	9.05	8.91	9.15	CSPII
ASAS14mf	35.353	0.193	0.0302	8.93	8.66	9.03	CSPII
ASAS14mw	35.257	0.156	0.0271	10.68	10.59	10.75	CSPII
ASAS14my	34.652	0.173	0.0217	10.31	10.11	10.74	CSPII
ASAS15aj	33.104	0.254	0.012	11.2	11.05	11.35	CSPII
ASAS15al	36.009	0.152	0.0338	8.07	8.03	8.23	CSPII
ASAS15as	35.52	0.157	0.0298	7.66	7.47	8.01	CSPII
ASAS15ba	34.969	0.177	0.024	7.99	7.83	8.19	CSPII
ASAS15be	34.852	0.173	0.0214	7.8	7.66	8.16	CSPII
ASAS15bm	34.577	0.174	0.0214	10.02	9.89	10.15	CSPII
ASAS15cb	35.742	0.17	0.0411	10.28	10.17	10.4	CSPII
ASAS15cd	35.895	0.142	0.0354	9.95	9.85	10.02	CSPII
ASAS15db	33.377	0.266	0.0114	10.11	9.98	10.19	CSPII
ASAS15dd	34.872	0.178	0.0247	10.41	10.31	10.52	CSPII
ASAS15fr	35.835	0.165	0.0345	9.98	9.89	10.06	CSPII
ASAS15ga	32.578	0.387	0.0077	10.38	10.18	10.48	CSPII
ASAS15go	34.668	0.187	0.0193	10.18	10.04	10.27	CSPII
ASAS15gr	35.067	0.174	0.0248	8.94	8.82	9.02	CSPII
ASAS15hf	32.547	0.395	0.0072	9.56	9.39	9.97	CSPII
ASAS15hg	35.58	0.175	0.0309	10.42	10.3	10.51	CSPII
ASAS15hx	32.34	0.313	0.0092	7.45	7.06	7.89	CSPII
CSP12G	35.904	0.164	0.038	8.41	8.29	8.49	CSPII
CSP12N	38.243	0.128	0.0983	7.51	7.32	7.66	CSPII
CSP13N	36.389	0.142	0.0488	10.07	9.88	10.24	CSPII
CSP13V	37.142	0.176	0.0611	11.5	11.5	11.5	CSPII
CSP13Z	37.559	0.131	0.0801	8.35	8.25	8.85	CSPII
CSP13aad	37.773	0.142	0.0866	9.65	9.59	9.8	CSPII
CSP13aaf	37.346	0.153	0.0787	10.66	10.53	11.04	CSPII
CSP13aao	36.971	0.23	0.0616	9.93	9.8	10.09	CSPII
