sn	mu_obs	err_mu_obs	zcmb	mass_best	mass_low	mass_hhigh	sample
ASAS14ad	35.541	0.182	0.0274	8.61	8.23	8.78	CSPII
ASAS14hp	36.057	0.158	0.0387	9.09	8.98	9.15	CSPII
ASAS14hr	35.675	0.17	0.0327	10.34	10.18	10.45	CSPII
ASAS14hu	34.879	0.186	0.0219	9.93	9.8	10.24	CSPII
ASAS14jc	33.174	0.27	0.0118	9.46	9.32	9.77	CSPII
ASAS14jg	33.981	0.237	0.0143	8.76	8.57	8.88	CSPII
ASAS14jz	33.686	0.224	0.0156	8.23	8.11	8.35	CSPII
ASAS14kd	34.709	0.197	0.0231	10.14	10.03	10.23	CSPII
ASAS14lp	30.707	0.451	0.0062	10.74	10.6	10.91	CSPII
ASAS14lq	35.331	0.2	0.0251	10.65	10.46	10.73	CSPII
ASAS14lt	35.494	0.167	0.0315	10.64	10.56	10.7	CSPII
ASAS14lw	34.945	0.197	0.0203	6.35	6.08	6.72	CSPII
ASAS14me	34.373	0.211	0.0174	9.05	8.91	9.15	CSPII
ASAS14mw	35.332	0.172	0.0271	10.68	10.59	10.75	CSPII
ASAS14my	34.628	0.187	0.0217	10.31	10.11	10.74	CSPII
ASAS15aj	33.163	0.264	0.012	11.2	11.05	11.35	CSPII
ASAS15al	35.987	0.17	0.0338	8.07	8.03	8.23	CSPII
ASAS15as	35.549	0.171	0.0298	7.66	7.47	8.01	CSPII
ASAS15ba	35.091	0.184	0.024	7.99	7.83	8.19	CSPII
ASAS15be	34.933	0.188	0.0214	7.8	7.66	8.16	CSPII
ASAS15bm	34.674	0.188	0.0214	10.02	9.89	10.15	CSPII
ASAS15cb	35.783	0.17	0.0411	10.28	10.17	10.4	CSPII
ASAS15cd	35.942	0.16	0.0354	9.95	9.85	10.02	CSPII
ASAS15db	33.301	0.275	0.0114	10.11	9.98	10.19	CSPII
ASAS15dd	34.56	0.182	0.0247	10.41	10.31	10.52	CSPII
ASAS15fr	35.874	0.167	0.0345	9.98	9.89	10.06	CSPII
ASAS15ga	32.651	0.417	0.0077	10.38	10.18	10.48	CSPII
ASAS15go	34.595	0.2	0.0193	10.18	10.04	10.27	CSPII
ASAS15gr	34.985	0.182	0.0248	8.94	8.82	9.02	CSPII
ASAS15hf	32.765	0.397	0.0072	9.56	9.39	9.97	CSPII
ASAS15hx	32.42	0.322	0.0092	7.45	7.06	7.89	CSPII
CSP12G	36.096	0.169	0.038	8.41	8.29	8.49	CSPII
CSP13N	36.382	0.156	0.0488	10.07	9.88	10.24	CSPII
CSP13abl	35.961	0.168	0.0406	8.91	8.9	9.04	CSPII
CSP14aar	36.227	0.167	0.0424	9.07	8.9	9.42	CSPII
CSP14abn	34.808	0.182	0.0233	9.75	9.59	10.24	CSPII
CSP14adc	35.713	0.167	0.0317	10.81	10.67	11.14	CSPII
CSP15aae	34.356	0.213	0.017	11.14	10.96	11.26	CSPII
KISS15m	35.428	0.179	0.0254	9.78	9.67	9.94	CSPII
KISS15n	34.558	0.187	0.024	8.0	7.8	8.17	CSPII
LSQ11bk	36.293	0.157	0.04	6.53	6.5	6.59	CSPII
LSQ11ot	35.604	0.171	0.0273	10.17	10.0	10.22	CSPII
LSQ11pn	35.305	0.165	0.0327	10.7	10.52	10.8	CSPII
LSQ12bld	37.651	0.17	0.0843	10.55	10.42	10.64	CSPII
LSQ12btn	36.805	0.157	0.0553	10.9	10.84	10.94	CSPII
