sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,meth,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,dsbf,ed,m,em,ml,mu,sample,subtype,quality,caltype
ASAS14ad,0.0264,0.0274352,1.013,0.004,17.23,0.061,11.2,0.0159,0.0016,5.421e-06,,-0.03,0.011,0.0,N/A,-1.0,-1.0,,,,,8.61,,8.23,8.78,CSPII,Ia,0.973,none
ASAS14hp,0.0388933,0.0386676,1.077,0.01,17.641,0.025,4.1,0.0295,0.0029,1.978e-05,,-0.055,0.005,0.0,N/A,-1.0,-1.0,,,,,9.09,,8.98,9.15,CSPII,Ia,0.984,none
ASAS14hr,0.0335967,0.0327196,0.803,0.009,17.39,0.051,1.7,0.0131,0.0013,-8.493e-06,,0.053,0.013,0.0,N/A,-1.0,-1.0,,,,,10.34,,10.18,10.45,CSPII,Ia,0.985,none
ASAS14hu,0.0215851,0.0218919,1.05,0.007,16.467,0.015,-1.4,0.0612,0.0061,1.754e-05,,-0.052,0.006,0.0,N/A,-1.0,-1.0,,,,,9.93,,9.8,10.24,CSPII,Ia,0.983,none
ASAS14jc,0.0113167,0.0117796,0.914,0.005,14.968,0.046,9.2,0.1346,0.0135,1.137e-05,,0.426,0.01,0.0,N/A,-1.0,-1.0,,,,,9.46,,9.32,9.77,CSPII,Ia,0.962,none
ASAS14jg,0.0148167,0.014347,1.3,0.017,15.533,0.04,9.8,0.0128,0.0013,-1.272e-05,,0.068,0.059,0.0,N/A,-1.0,-1.0,,,,,8.76,,8.57,8.88,CSPII,Ia,0.961,none
ASAS14jz,0.0157891,0.0156168,0.985,0.005,15.34,0.034,-4.1,0.0472,0.0047,-9.462e-06,,-0.045,0.006,0.0,N/A,-1.0,-1.0,,,,,8.23,,8.11,8.35,CSPII,Ia,0.952,none
ASAS14kd,0.0243,0.0230683,1.174,0.007,16.363,0.075,14.5,0.0574,0.0057,-7.291e-06,,0.221,0.007,0.0,N/A,-1.0,-1.0,,,,,10.14,,10.03,10.23,CSPII,Ia-91T,0.941,none
ASAS14lp,0.0050967,0.0062254,1.027,0.004,12.363,0.014,-8.5,0.0213,0.0021,7.614e-06,,0.237,0.006,0.0,N/A,-1.0,-1.0,,,,,10.74,,10.6,10.91,CSPII,Ia,0.335,none
ASAS14lq,0.0261733,0.0250833,1.005,0.024,16.98,0.089,13.0,0.0275,0.0028,3.217e-05,,0.013,0.078,0.0,N/A,-1.0,-1.0,,,,,10.65,,10.46,10.73,CSPII,Ia,0.977,none
ASAS14lt,0.0320233,0.0314552,0.947,0.008,17.105,0.032,0.9,0.0474,0.0047,2.914e-06,,-0.034,0.016,0.0,N/A,-1.0,-1.0,,,,,10.64,,10.56,10.7,CSPII,Ia,0.984,none
ASAS14lw,0.0208855,0.0202609,1.156,0.009,16.516,0.049,-4.8,0.0117,0.0012,2.512e-05,,-0.01,0.011,0.0,N/A,-1.0,-1.0,,,,,6.35,,6.08,6.72,CSPII,Ia,0.939,none
ASAS14me,0.0178,0.017386,1.078,0.005,15.997,0.039,5.9,0.0175,0.0018,1.005e-05,,0.001,0.006,0.0,N/A,-1.0,-1.0,,,,,9.05,,8.91,9.15,CSPII,Ia,0.981,none
