,sn,res_u,eres_u,zcmb_u,st_u,B-V_u,m_u,ml_u,mu_u,sample_u,cal_u,res_B,eres_B,zcmb_B,st_B,B-V_B,m_B,ml_B,mu_B,sample_B,cal_B,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal,res_V,eres_V,zcmb_V,st_V,B-V_V,m_V,ml_V,mu_V,sample_V,cal_V,res_r,eres_r,zcmb_r,st_r,B-V_r,m_r,ml_r,mu_r,sample_r,cal_r,res_i,eres_i,zcmb_i,st_i,B-V_i,m_i,ml_i,mu_i,sample_i,cal_i,res_Y,eres_Y,zcmb_Y,st_Y,B-V_Y,m_Y,ml_Y,mu_Y,sample_Y,cal_Y,res_J,eres_J,zcmb_J,st_J,B-V_J,m_J,ml_J,mu_J,sample_J,cal_J,res_H,eres_H,zcmb_H,st_H,B-V_H,m_H,ml_H,mu_H,sample_H,cal_H
0,ASAS14ad,0.1459371006041507,0.270200732809337,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none,0.1032558702916972,0.2038217030130019,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none,0.116263005615508,0.1919885753283522,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none,0.1012501197444208,0.210208257429206,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none,0.1272136473605059,0.1944982153537917,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none,0.1484790407406464,0.1828965904022811,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none,0.124877553635045,0.1767516373893947,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none,0.0682017194330555,0.2345187177871598,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none,0.3142337394239902,0.1898775327865593,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
1,ASAS14hp,-0.3330489266070984,0.2502987059298409,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none,-0.2496724369195604,0.1871790022388656,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none,-0.2354455815957408,0.1693977901545719,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none,-0.2474355074668395,0.1926305563618696,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none,-0.1671497798507601,0.1758941336917714,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none,-0.1711020664706097,0.1618656870280648,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none,-0.1175161935762076,0.1393825461622819,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none,-0.1454402677781985,0.1943902125961387,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none,0.0031453922127298,0.1665560618858484,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
2,ASAS14hr,0.5089027130660853,0.2616631388587024,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none,0.1222745627536241,0.1961635462249966,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none,0.1947707780774479,0.1810307267117058,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none,0.1240133322063528,0.2021698664727648,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none,0.0778006598224294,0.1844829493317044,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none,0.0823625332025912,0.1715644605819152,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none,-0.0227059139030032,0.1503555719966405,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none,0.0273288918949887,0.201780850857641,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none,-0.009549128114088,0.1779499150435165,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
3,ASAS14hu,0.1463886852628775,0.2840537189352473,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none,-0.1305607630495728,0.2227118913695656,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none,-0.1100198457257732,0.2137480680802488,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none,-0.1278366305968603,0.2305057157919218,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none,-0.1163147079807842,0.2143565331372776,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none,-0.0171481976006191,0.2035918249809291,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none,0.0294977562937788,0.1695069486928883,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none,0.0550411280917728,0.2243412295029462,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none,0.1100063570827032,0.19351036839915,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
4,ASAS14jc,0.1539054340913708,0.3754872525763298,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none,-0.0665103022210757,0.3224168755228738,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none,0.0877823271027367,0.3286299785462568,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none,-0.0900632417683482,0.3364733309306056,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none,-0.1160309991522865,0.3173469184272811,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none,-0.0974914167721152,0.3095946674630432,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none,-0.2465648068777284,0.263446608891046,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none,-0.1517285390797198,0.315911953556361,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none,-0.2346675660887953,0.2705004036431607,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
5,ASAS14jg,0.1705459530604613,0.4320892499364838,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none,0.2001115047480084,0.3147427752484216,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none,0.1419574220718189,0.3208054327118296,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none,0.2147631372007268,0.342684030639183,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none,0.2305025598167986,0.2957255109053984,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none,0.1896415701969616,0.2825579449397661,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none,0.1231300240913597,0.2293982410803659,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none,0.1716883958893547,0.2796008544965394,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none,0.0938461248802866,0.2391463803989395,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
6,ASAS14jz,-0.3193891234898274,0.3182722031158411,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none,-0.2633641218022902,0.2656712744560591,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none,-0.2135047544784925,0.2643949802128287,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none,-0.2657460643495639,0.2762566876621185,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none,-0.2707390167335006,0.258919832239776,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none,-0.2950424313533375,0.2497051219213056,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none,-0.2233225024589344,0.2058336617057195,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none,-0.2680052806609296,0.2574667938834361,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none,-0.3568472766700026,0.2258042063368637,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
7,ASAS14kd,-0.2783602630940933,0.2764289751093891,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none,-0.0508576394065443,0.2178611730741864,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none,-0.0426766500827255,0.2079834310093947,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none,-0.0545397389538209,0.2257466809442716,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none,-0.0437428963377399,0.2088136937735039,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none,-0.1496491539575899,0.1974836244652522,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none,-0.0740068640631932,0.2093208236224754,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none,-0.377717716265181,0.2517722059030259,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none,-0.145335423274254,0.2019759031646645,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
8,ASAS14kq,0.4760132204423755,0.2632093269515125,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none,0.2719985501299291,0.1969576058153785,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none,0.2753082454537363,0.1809552774100916,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none,0.2777414395826483,0.2049066796627374,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none,0.2466945671987304,0.1861223961970597,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none,0.1906953205788895,0.1725610251415051,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none,0.2103271134732764,0.1482874921478902,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none,0.1984797592712865,0.2020901570105476,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none,,,,,,,,,,
9,ASAS14lo,0.1276393860864004,0.3981854923234242,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none,-0.0455420622260547,0.2736668612103299,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none,0.0103028550977555,0.2694529794755883,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none,-0.0532659297733388,0.2911727809237175,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none,-0.0347640071572641,0.244350372817596,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none,0.0290465032229079,0.2288045114072098,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none,0.1411684571173097,0.1874282720876015,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none,,,,,,,,,,,,,,,,,,,,
10,ASAS14lp,-1.5215817675395442,0.5965014217651685,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none,-1.490287677852006,0.5482402347423139,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none,-1.465109222528188,0.5768102108670532,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none,-1.5013463483992773,0.575051550992271,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none,-1.4908646207832028,0.547119877470823,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none,-1.4893773074030427,0.541266939354883,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none,-1.3845846345086483,0.4311479297398025,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none,-1.31271590871064,0.494997996976686,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none,-1.2969990487197194,0.4404905312148053,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
11,ASAS14lq,0.1387239095268455,0.4495429514148677,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none,-0.0377774887856219,0.2874391908374312,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none,-0.0010685214618106,0.2847483486003724,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none,-0.0380360313328935,0.3128823317785375,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none,-0.0601079837168256,0.2473623732577372,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none,0.1247112016633451,0.2262820005454831,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none,0.0988849305577375,0.205394766459338,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none,0.2170489523557393,0.2658473234604933,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none,0.3026851563466692,0.2052007736593461,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
