sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,dist,edist,host,caltype
ASAS14ad,0.0264,0.0274352,1.01,0.018,16.244,0.005,-7.2,0.0159,0.0016,6.66E-06,CSPII,Ia,0.973,0,1,-0.011,0.01118033989,-2.50E-05,8.23,8.61,8.78,-1,-1,KUG 1237+183,
ASAS14hp,0.0388933,0.0386676,1.074,0.01,16.547,0.003,-4.3,0.0295,0.0029,-5.27E-06,CSPII,Ia,0.984,1,0,-0.049,0.005,-9.00E-06,8.98,9.09,9.15,-1,-1,2MASX J21303015-7038489,
ASAS14hr,0.0335967,0.0327196,0.802,0.01,17.021,0.009,-6.1,0.0131,0.0013,4.13E-05,CSPII,Ia,0.985,1,0,0.061,0.01345362405,-8.10E-05,10.18,10.34,10.45,-1,-1,2MASX J01504127-1431032,
ASAS14hu,0.0215851,0.0218919,1.052,0.007,15.431,0.004,-6.8,0.0612,0.0061,-8.50E-06,CSPII,Ia,0.983,0,1,-0.045,0.006403124237,-1.60E-05,9.8,9.93,10.24,-1,-1,ESO 058- G 012,
ASAS14jc,0.0113167,0.0117796,0.915,0.005,15.245,0.006,-5.3,0.1346,0.0135,5.33E-06,CSPII,Ia,0.962,0,1,0.437,0.01,-3.60E-05,9.32,9.46,9.77,-1,-1,2MASX J07353554-6246099,
ASAS14jg,0.0148167,0.014347,1.285,0.022,14.732,0.035,2.7,0.0128,0.0013,-2.23E-05,CSPII,Ia,0.961,0,1,0.049,0.05940538696,-0.001225,8.57,8.76,8.88,-1,-1,2MASX J23331223-6034201,
ASAS14jz,0.0157891,0.0156168,0.989,0.006,14.663,0.004,-8.5,0.0472,0.0047,1.01E-05,CSPII,Ia,0.952,0,0,-0.041,0.005656854249,-1.60E-05,8.11,8.23,8.35,-1,-1,GALEXASC J184443.33-524819.2,
ASAS14kd,0.0243,0.0230683,1.169,0.007,16.01,0.005,-6.9,0.0574,0.0057,1.71E-05,CSPII,Ia-91T,0.941,0,0,0.234,0.007071067812,-2.50E-05,10.03,10.14,10.23,-1,-1,2MASX J22532475+0447583,
ASAS14kq,0.0335767,0.0325972,1.147,0.011,16.612,0.009,-5.2,0.0155,0.0016,6.29E-05,CSPII,Ia,0.961,1,0,-0.021,0.01204159458,-8.10E-05,8.78,8.91,9.11,-1,-1,2MASX J23451480-2947009,
ASAS14lo,0.0199167,0.0210151,0.952,0.018,15.876,0.036,2.3,0.0282,0.0028,-6.71E-06,CSPII,Ia,0.979,0,1,0.127,0.06080296045,-0.001296,9.47,9.69,9.79,-1,-1,UGC 06837,
ASAS14lp,0.0050967,0.0062254,1.029,0.004,11.914,0.004,-13.9,0.0213,0.0021,1.81E-06,CSPII,Ia,0.335,0,1,0.243,0.006403124237,-1.60E-05,10.6,10.74,10.91,-1,-1,NGC 4666,
ASAS14lq,0.0261733,0.0250833,0.999,0.024,16.013,0.047,5.6,0.0275,0.0028,-4.92E-05,CSPII,Ia,0.977,0,1,0.02,0.07940403012,-0.002209,10.46,10.65,10.73,-1,-1,2MASX J22571481-2058014,
ASAS14lt,0.0320233,0.0314552,0.944,0.008,16.368,0.01,-4.6,0.0474,0.0047,2.32E-05,CSPII,Ia,0.984,1,0,-0.033,0.01640121947,-0.0001,10.56,10.64,10.7,-1,-1,IC 0299,
ASAS14lw,0.0208855,0.0202609,1.25,0.007,15.602,0.006,-9,0.0117,0.0012,1.66E-05,CSPII,Ia,0.939,0,1,-0.012,0.009219544457,-3.60E-05,6.08,6.35,6.72,-1,-1,GALEXASC J010647.95-465904.1,
ASAS14me,0.0178,0.017386,1.078,0.005,15.074,0.004,-10.4,0.0175,0.0018,-1.63E-06,CSPII,Ia,0.981,0,1,0.007,0.005656854249,-1.60E-05,8.91,9.05,9.15,-1,-1,ESO 113- G 047,
ASAS14mf,0.03108,0.0301521,0.984,0.005,16.511,0.007,-3.7,0.0125,0.0013,1.10E-05,CSPII,Ia,0.984,1,0,-0.012,0.01063014581,-4.90E-05,8.66,8.93,9.03,-1,-1,GALEXASC J000454.54-322615.3,
ASAS14mw,0.0273867,0.0271207,1.063,0.007,15.879,0.003,-6.7,0.0179,0.0018,-6.64E-06,CSPII,Ia,0.984,1,1,-0.034,0.005,-9.00E-06,10.59,10.68,10.75,-1,-1,AM 0139-655 NED02,
ASAS14my,0.0205,0.0217279,0.923,0.005,15.553,0.006,-8.2,0.0316,0.0032,8.58E-06,CSPII,Ia,0.975,0,1,0.015,0.01,-3.60E-05,10.11,10.31,10.74,-1,-1,NGC 3774,
ASAS15aj,0.0109133,0.0120218,0.831,0.007,14.577,0.006,-2.6,0.0656,0.0066,1.49E-05,CSPII,Ia,0.952,0,1,0.103,0.009219544457,-3.60E-05,11.05,11.2,11.35,-1,-1,NGC 3449,
ASAS15al,0.0337766,0.0337612,1.077,0.028,16.841,0.036,0.4,0.0293,0.0029,-3.07E-05,CSPII,Ia,0.916,1,0,0.055,0.05920304046,-0.001296,8.03,8.07,8.23,-1,-1,GALEXASC J045749.46-213526.3,
ASAS15as,0.0286801,0.0297845,1.076,0.014,16.179,0.005,-1.3,0.0398,0.004,-2.36E-05,CSPII,Ia,0.985,1,1,0.029,0.007810249676,-2.50E-05,7.47,7.66,8.01,-1,-1,SDSS J093916.69+062551.1,
ASAS15ba,0.0231167,0.0239771,0.967,0.004,15.975,0.004,-2.1,0.0223,0.0022,1.91E-06,CSPII,Ia,0.983,0,1,0.008,0.006403124237,-1.60E-05,7.83,7.99,8.19,-1,-1,SDSS J140455.12+085514.0,
ASAS15be,0.0218833,0.0213892,1.134,0.006,15.611,0.005,-7.2,0.0167,0.0017,1.81E-05,CSPII,Ia,0.976,0,1,0.019,0.006403124237,-2.50E-05,7.66,7.8,8.16,-1,-1,GALEXASC J025245.83-341850.6,
ASAS15bm,0.0207856,0.0214395,0.991,0.005,15.625,0.007,-7.6,0.069,0.0069,1.47E-05,CSPII,Ia,0.976,0,1,0.127,0.009899494937,-4.90E-05,9.89,10.02,10.15,-1,-1,LCRS B150313.2-052600,
ASAS15cb,0.04001,0.0411361,1.086,0.053,16.953,0.047,1.9,0.0279,0.0028,-5.48E-05,CSPII,Ia,0.583,1,0,0.107,0.07940403012,-0.002209,10.17,10.28,10.4,-1,-1,VCC 1810,
