        sn                             sn1      ml       m      mu  
  ASAS14hp                     ASASSN-14hp    8.98    9.09    9.15  
  ASAS14kd                     ASASSN-14kd   10.03   10.14   10.23  
  ASAS14kq                     ASASSN-14kq    8.78    8.91    9.11  
  ASAS14me                     ASASSN-14me    8.91    9.05    9.15  
  ASAS15al                     ASASSN-15al    8.03    8.07    8.23  
  ASAS15as                     ASASSN-15as    7.47    7.66    8.01  
  ASAS15cb                     ASASSN-15cb   10.17   10.28    10.4  
  ASAS15cd                     ASASSN-15cd    9.85    9.95   10.02  
    CSP13M                         SN2013U   10.15   10.27   10.31  
    CSP13N   MASTER OT J093953.18+165516.4    9.88   10.07   10.24  
    CSP13Z         CSS130303:105206-133424    8.25    8.35    8.85  
  CSP13aba                        SN2013hh    9.41    9.59    9.69  
   CSP13ay                        SN2013bz    9.94    9.98   10.04  
  CSP14acp                        SN2014dl    9.19    9.48    9.68  
  CSP14acy                OGLE-2014-SN-107    7.86    8.19    8.33  
  CSP14ade                OGLE-2014-SN-141   10.33   10.49   10.97  
  CSP14adf                        SN2014eg   11.47   11.62   11.73  
  LSQ12fxd                        LSQ12fxd   10.16   10.28    10.4  
  LSQ12gdj                        LSQ12gdj    8.36    8.66    8.76  
  LSQ12hvj                        LSQ12hvj    8.79    9.05    9.22  
  LSQ14auy                        LSQ14auy   10.61   10.74   11.19  
  LSQ14gov                        LSQ14gov    8.85    9.02    9.19  
   LSQ14xi                         LSQ14xi   10.77    10.9   11.07  
  LSQ15aae                        LSQ15aae    10.1   10.27   10.46  
  LSQ15agh                        LSQ15agh    9.72    9.87    9.99  
  LSQ15aja                        LSQ15aja    7.34    7.46    7.58  
    PS15sv                          PS15sv     8.2    8.31    8.56  
  PTF14gnl                       iPTF14gnl    9.86   10.06    10.5  
   SN2012G         ROTSE3 J123935.1+163512    9.58    9.73    9.84  
  SN2013ad                        SN2013ad    11.5    11.5    11.5  
