sn,sn1,ml,m,mu
SN2004dt,SN2004dt,10.38,10.57,10.74
SN2004ef,SN2004ef,10.63,10.74,10.80
SN2004eo,SN2004eo,11.03,11.16,11.35
SN2004ey,SN2004ey,9.76,10.06,10.41
SN2004gs,SN2004gs,10.57,10.63,10.70
SN2004gu,SN2004gu,9.74,10.02,10.19
SN2005A,SN2005A,11.07,11.19,11.26
SN2005ag,SN2005ag,10.84,10.90,10.95
SN2005al,SN2005al,10.40,10.49,10.63
SN2005am,SN2005am,10.68,10.83,11.26
SN2005be,SN2005be,10.25,10.40,10.50
SN2005bg,SN2005bg,9.72,9.91,10.02
SN2005bl,SN2005bl,10.89,11.01,11.20
SN2005bo,SN2005bo,10.34,10.50,10.65
SN2005el,SN2005el,10.70,10.84,11.24
SN2005eq,SN2005eq,10.44,10.56,10.65
SN2005gj,SN2005gj,8.64,8.81,9.04
SN2005hc,SN2005hc,10.52,10.60,10.65
SN2005hj,SN2005hj,9.22,9.32,9.38
SN2005hk,SN2005hk,9.29,9.46,9.56
SN2005iq,SN2005iq,10.47,10.54,10.60
SN2005ir,SN2005ir,9.12,9.23,9.37
SN2005kc,SN2005kc,10.60,11.06,11.50
SN2005ke,SN2005ke,10.29,10.43,10.61
SN2005ki,SN2005ki,10.62,10.80,10.86
SN2005ku,SN2005ku,9.96,10.04,10.10
SN2005lu,SN2005lu,9.68,9.86,10.03
SN2005M,SN2005M,8.38,8.80,8.92
SN2005mc,SN2005mc,10.85,10.95,11.10
SN2005na,SN2005na,10.90,10.97,11.05
SN2005W,SN2005W,9.75,9.90,10.00
SN2006ax,SN2006ax,10.79,10.92,11.04
SN2006bd,SN2006bd,10.60,10.77,10.80
SN2006bh,SN2006bh,10.31,10.43,10.49
SN2006br,SN2006br,10.87,10.97,11.36
SN2006bt,SN2006bt,10.80,10.84,10.92
SN2006D,SN2006D,9.54,9.76,9.85
SN2006mr,SN2006mr,10.79,11.19,11.38
SN2006ef,SN2006ef,10.18,10.35,10.49
SN2006ej,SN2006ej,10.48,10.63,10.70
SN2006eq,SN2006eq,9.79,10.19,10.65
SN2006et,SN2006et,10.70,10.80,10.88
SN2006ev,SN2006ev,10.65,10.75,10.91
SN2006fw,SN2006fw,9.32,9.42,9.62
SN2006gj,SN2006gj,10.36,10.53,10.60
SN2006gt,SN2006gt,9.87,9.93,9.94
SN2006hb,SN2006hb,10.05,10.22,10.39
SN2006hx,SN2006hx,10.12,10.31,10.44
SN2006is,SN2006is,6.68,7.10,7.41
SN2006kf,SN2006kf,10.59,10.82,10.90
SN2006lu,SN2006lu,10.22,10.29,10.37
SN2006ob,SN2006ob,11.08,11.26,11.33
SN2006os,SN2006os,10.66,10.81,10.87
SN2006ot,SN2006ot,11.16,11.27,11.33
SN2006py,SN2006py,8.94,9.10,9.24
SN2006X,SN2006X,9.06,9.33,9.43
SN2007af,SN2007af,9.23,9.52,9.98
SN2007ai,SN2007ai,9.76,9.91,10.18
SN2007al,SN2007al,9.33,9.47,9.91
SN2007as,SN2007as,10.24,10.36,10.43
SN2007ax,SN2007ax,10.13,10.23,10.29
SN2007ba,SN2007ba,10.90,10.99,11.06
SN2007bc,SN2007bc,10.65,10.73,10.78
SN2007bd,SN2007bd,10.68,10.82,10.89
SN2007bm,SN2007bm,10.09,10.27,10.72
SN2007ca,SN2007ca,9.52,9.69,9.74
SN2007cg,SN2007cg,10.33,10.37,10.43
SN2007hj,SN2007hj,10.30,10.45,10.89
SN2007hx,SN2007hx,10.45,10.55,10.62
SN2007jd,SN2007jd,9.93,10.13,10.18
SN2007jg,SN2007jg,7.95,8.10,8.22
SN2007jh,SN2007jh,10.89,10.99,11.04
SN2007le,SN2007le,9.71,9.85,10.16
SN2007N,SN2007N,10.10,10.19,10.57
SN2007nq,SN2007nq,11.15,11.21,11.28
SN2007ol,SN2007ol,9.71,9.82,9.93
SN2007on,SN2007on,10.78,11.04,11.45
SN2007S,SN2007S,9.63,9.98,10.16
SN2007so,SN2007so,10.89,10.97,11.07
SN2007st,SN2007st,10.85,10.95,11.40
SN2007ux,SN2007ux,10.23,10.30,10.34
SN2008ae,SN2008ae,10.27,10.44,10.54
SN2008ar,SN2008ar,10.11,10.21,10.28
SN2008bc,SN2008bc,9.95,10.10,10.23
SN2008bd,SN2008bd,10.99,11.07,11.13
SN2008bi,SN2008bi,10.27,10.38,10.48
SN2008bq,SN2008bq,10.74,10.82,10.91
SN2008bt,SN2008bt,10.70,10.85,10.91
SN2008bz,SN2008bz,10.44,10.50,10.56
SN2008C,SN2008C,10.35,10.49,10.55
SN2008cc,SN2008cc,10.40,10.48,10.64
SN2008cd,SN2008cd,9.43,9.54,9.64
SN2008cf,SN2008cf,8.59,8.73,8.97
SN2008fl,SN2008fl,10.87,10.94,11.01
SN2008fp,SN2008fp,10.15,10.20,10.63
SN2008fr,SN2008fr,7.58,7.73,7.92
SN2008fu,SN2008fu,10.66,10.72,10.80
SN2008fw,SN2008fw,10.31,10.49,10.61
SN2008gg,SN2008gg,10.63,10.73,10.82
SN2008gl,SN2008gl,10.81,10.86,10.92
SN2008go,SN2008go,10.89,10.94,11.00
SN2008gp,SN2008gp,10.64,10.73,10.79
SN2008ha,SN2008ha,7.80,8.15,8.33
SN2008hj,SN2008hj,10.20,10.40,10.69
SN2008hu,SN2008hu,10.84,10.99,11.07
SN2008hv,SN2008hv,10.29,10.55,10.67
SN2008ia,SN2008ia,10.54,10.77,11.23
SN2008J,SN2008J,10.15,10.35,10.44
SN2008O,SN2008O,11.12,11.33,11.59
SN2008R,SN2008R,11.07,11.25,11.31
SN2009aa,SN2009aa,10.10,10.60,10.80
SN2009ab,SN2009ab,10.20,10.35,10.78
SN2009ad,SN2009ad,10.50,10.58,10.64
SN2009ag,SN2009ag,9.99,10.20,10.60
SN2009al,SN2009al,10.66,10.72,10.77
SN2009cz,SN2009cz,10.68,10.75,10.84
SN2009D,SN2009D,10.35,10.43,10.50
SN2009dc,SN2009dc,10.48,10.57,10.62
SN2009ds,SN2009ds,10.62,10.77,10.97
SN2009F,SN2009F,10.61,10.79,11.22
SN2009I,SN2009I,10.53,10.74,10.88
SN2009J,SN2009J,10.32,10.48,10.57
SN2009le,SN2009le,10.66,10.84,11.31
SN2009P,SN2009P,9.77,9.87,9.95
SN2009Y,SN2009Y,10.66,10.76,10.95
SN2010ae,SN2010ae,9.10,9.29,9.36
ASAS14ad,ASASSN-14ad,8.23,8.61,8.78
ASAS14hp,ASASSN-14hp,8.98,9.09,9.15
ASAS14hr,ASASSN-14 hr,10.18,10.34,10.45
ASAS14hu,ASASSN-14hu,9.80,9.93,10.24
ASAS14jc,ASASSN-14jc,9.32,9.46,9.77
ASAS14jg,ASASSN-14jg,8.57,8.76,8.88
ASAS14jz,ASASSN-14jz,8.11,8.23,8.35
ASAS14kd,ASASSN-14kd,10.03,10.14,10.23
ASAS14kq,ASASSN-14kq,8.78,8.91,9.11
ASAS14lo,ASASSN-14lo,9.47,9.69,9.79
ASAS14lp,ASASSN-14lp,10.60,10.74,10.91
ASAS14lq,ASASSN-14lq,10.46,10.65,10.73
ASAS14lt,ASASSN-14lt,10.56,10.64,10.70
ASAS14lw,ASASSN-14lw,6.08,6.35,6.72
ASAS14me,ASASSN-14me,8.91,9.05,9.15
ASAS14mf,ASASSN-14mf,8.66,8.93,9.03
ASAS14mw,ASASSN-14mw,10.59,10.68,10.75
ASAS14my,ASASSN-14my,10.11,10.31,10.74
ASAS15aj,ASASSN-15aj,11.05,11.20,11.35
ASAS15al,ASASSN-15al,8.03,8.07,8.23
ASAS15as,ASASSN-15as,7.47,7.66,8.01
ASAS15ba,ASASSN-15ba,7.83,7.99,8.19
ASAS15be,ASASSN-15be,7.66,7.80,8.16
ASAS15bm,ASASSN-15bm,9.89,10.02,10.15
ASAS15cb,ASASSN-15cb,10.17,10.28,10.40
ASAS15cd,ASASSN-15 cd,9.85,9.95,10.02
ASAS15da,ASASSN-15 da,10.23,10.40,10.48
ASAS15db,ASASSN-15db,9.98,10.11,10.19
ASAS15dd,ASASSN-15dd,10.31,10.41,10.52
ASAS15eb,ASASSN-15eb,10.79,10.96,11.40
ASAS15fr,ASASSN-15fr,9.89,9.98,10.06
ASAS15ga,ASASSN-15ga,10.18,10.38,10.48
ASAS15go,ASASSN-15go,10.04,10.18,10.27
ASAS15gr,ASASSN-15gr,8.82,8.94,9.02
ASAS15hf,ASASSN-15hf,9.39,9.56,9.97
ASAS15hg,ASASSN-15hg,10.30,10.42,10.51
ASAS15hx,ASASSN-15hx,7.06,7.45,7.89
CSP12F,SN2012hd,10.38,10.44,10.54
CSP12G,CSS121114:090202+101800,8.29,8.41,8.49
CSP12J,OGLE-2012-SN-040,9.97,10.09,10.20
CSP12K,SN2012hr,10.21,10.32,10.45
CSP12M,SN 2012ht,4.49,4.77,4.82
CSP12N,CSS120325:123816-150632,7.32,7.51,7.66
CSP13B,SN2013E,9.83,9.96,9.99
CSP13C,SN2013H,10.32,10.50,10.60
CSP13G,SN2013M,10.73,10.90,11.04
CSP13M,SN2013U,10.15,10.27,10.31
CSP13N,MASTER OT J093953.18+165516.4,9.88,10.07,10.24
CSP13P,SN2013aa,9.85,9.99,10.12
CSP13Q,OGLE-2013-SN-015,10.06,10.25,10.74
CSP13Y,SN2013aj,9.82,9.99,10.38
CSP13Z,CSS130303:105206-133424,8.25,8.35,8.85
CSP13aad,OGLE-2013-SN-109,9.59,9.65,9.80
CSP13aae,SN2013fz,10.61,10.69,10.77
CSP13aaf,CSS131031:095508+064831,10.53,10.66,11.04
CSP13aam,OGLE-2013-SN-118,8.65,9.05,9.23
CSP13aao,OGLE-2013-SN-123,9.80,9.93,10.09
CSP13aap,PS1-13eao,10.56,10.73,11.04
CSP13aaw,SN2013gv,11.16,11.27,11.56
CSP13aax,SN2013gy,8.98,9.00,9.16
CSP13ab,LSQ13lq,8.00,8.44,8.63
CSP13aba,SN2013hh,9.41,9.59,9.69
CSP13abl,OGLE-2013-SN-148,8.90,8.91,9.04
CSP13abs,CSS140126:120307-010132,6.23,6.36,6.48
CSP13ag,SN2013as,8.43,8.59,8.95
CSP13al,SN2013ay,10.64,10.72,10.82
CSP13am,SN2013az,10.93,10.99,11.07
CSP13an,SN2013bc,10.28,10.47,10.55
CSP13ay,SN2013bz,9.94,9.98,10.04
CSP13bf,SN2013cg,9.98,10.13,10.27
CSP13bh,SN2013ct,8.57,8.72,8.89
CSP14aaa,SN2014D,8.15,8.26,8.38
CSP14aab,SN2014I,10.76,10.90,11.31
CSP14aaq,OGLE-2014-SN-019,11.01,11.08,11.48
CSP14aar,OGLE-2014-SN-021,8.90,9.07,9.42
CSP14aaw,SN2014Z,10.66,10.75,10.81
CSP14aax,PS1-14ra,10.35,10.65,10.72
CSP14aay,PTF14yw,10.16,10.24,10.59
CSP14aba,PS1-14rx,9.77,9.89,10.06
CSP14abf,SN2014ao,10.47,10.57,10.74
CSP14abh,SN2014at,11.08,11.25,11.40
CSP14abl,SN2014ba,10.56,10.64,11.06
CSP14abn,SN2014bz,9.59,9.75,10.24
CSP14acm,SN2014dn,10.58,10.65,10.72
CSP14acp,SN2014dl,9.19,9.48,9.68
CSP14acy,OGLE-2014-SN-107,7.86,8.19,8.33
CSP14adc,SN2014du,10.67,10.81,11.14
CSP14ade,OGLE-2014-SN-141,10.33,10.49,10.97
CSP14adf,SN2014eg,11.47,11.62,11.73
CSP15B,PSN J13471211-2422171,10.78,10.95,11.42
CSP15aae,SN2015bo,10.96,11.14,11.26
CSP15aaj,SN 2015F,8.86,9.16,9.34
CSP15aak,SNhunt281,9.66,9.75,9.85
KISS13j,SN2013Y,9.65,9.83,10.21
KISS13l,SN2013al,8.32,8.69,8.85
KISS15m,KISS15m,9.67,9.78,9.94
KISS15n,SN2015M,7.80,8.00,8.17
LSQ11bk,LSQ11bk,6.50,6.53,6.59
LSQ11ot,LSQ11ot,10.00,10.17,10.22
LSQ11pn,SN2011jq,10.52,10.70,10.80
LSQ12agq,LSQ12agq,9.29,9.30,9.43
LSQ12aor,LSQ12aor,9.67,9.85,10.15
LSQ12bld,LSQ12bld,10.42,10.55,10.64
LSQ12blp,LSQ12blp,10.39,10.54,10.87
LSQ12btn,LSQ12btn,10.84,10.90,10.94
LSQ12ca,LSQ12ca,10.34,10.44,10.64
LSQ12cda,LSQ12cda,9.69,9.82,9.98
LSQ12cdl,LSQ12cdl,8.79,8.81,8.93
LSQ12fuk,LSQ12fuk,8.20,8.34,8.45
LSQ12fvl,LSQ12fvl,10.55,10.74,10.93
LSQ12fxd,LSQ12fxd,10.16,10.28,10.40
LSQ12gdj,LSQ12gdj,8.36,8.66,8.76
LSQ12gln,LSQ12gln,8.60,8.75,9.07
LSQ12gpw,LSQ12gpw,10.09,10.26,10.40
LSQ12gxj,LSQ12gxj,9.06,9.18,9.31
LSQ12hjm,LSQ12hjm,9.93,10.09,10.25
LSQ12hno,LSQ12hno,7.64,7.70,7.90
LSQ12hnr,LSQ12hnr,7.93,8.05,8.16
LSQ12hvj,LSQ12hvj,8.79,9.05,9.22
LSQ12hxx,LSQ12hxx,10.28,10.45,10.58
LSQ12hzj,LSQ12hzj,9.32,9.35,9.73
LSQ12hzs,LSQ12hzs,9.88,10.02,10.42
LSQ13abo,LSQ13abo,10.04,10.31,10.34
LSQ13aiz,SN2013cs,8.12,8.24,8.34
LSQ13cwp,LSQ13cwp,10.39,10.54,10.70
LSQ13dcy,LSQ13dcy,9.01,9.18,9.34
LSQ13dhj,LSQ13dhj,8.27,8.63,8.78
LSQ13dkp,LSQ13dkp,10.61,10.80,10.92
LSQ13dpm,LSQ13dpm,9.06,9.17,9.60
LSQ13dsm,LSQ13dsm,8.85,9.01,9.14
LSQ13pf,LSQ13pf,10.14,10.26,10.44
